member_id,blank_part,material,qty,rough_size_in,final_size_in,grain_orientation,operation,yield_notes
KAV-GS3-5H,main body blank,Locust or elder,1,1.625 x 1.625 x 33.102,"OD 1.375, bore 0.875, length 31.102",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-GS3-5H,joint tenon/socket allowance,Locust or elder plus cork/ferrule,1,extra 2.5 in distributed around joint,"1.250 in tenon engagement, 0.003-0.006 in cork-adjusted compression",same as body,turn tenon/socket after bore alignment is proven,Cut joint after body is acoustically proven on a sacrificial overlength blank.
KAV-A3-5H,main body blank,Elder,1,1.625 x 1.625 x 31.134,"OD 1.375, bore 0.875, length 29.134",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-A3-5H,joint tenon/socket allowance,Elder plus cork/ferrule,1,extra 2.5 in distributed around joint,"1.250 in tenon engagement, 0.003-0.006 in cork-adjusted compression",same as body,turn tenon/socket after bore alignment is proven,Cut joint after body is acoustically proven on a sacrificial overlength blank.
KAV-B3-5H,main body blank,Elder,1,1.562 x 1.562 x 28.378,"OD 1.312, bore 0.812, length 26.378",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-C4-5H,main body blank,"Elder, maple, or cherry",1,1.500 x 1.500 x 26.409,"OD 1.250, bore 0.750, length 24.409",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-A3-7H,main body blank,Elder,1,1.650 x 1.650 x 37.433,"OD 1.400, bore 0.875, length 35.433",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-AS3-7H,main body blank,Dogwood or elder,1,1.650 x 1.650 x 35.465,"OD 1.400, bore 0.875, length 33.465",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
KAV-AS3-7H,joint tenon/socket allowance,Dogwood or elder plus cork/ferrule,1,extra 2.5 in distributed around joint,"1.250 in tenon engagement, 0.003-0.006 in cork-adjusted compression",same as body,turn tenon/socket after bore alignment is proven,Cut joint after body is acoustically proven on a sacrificial overlength blank.
KAV-B3-7H,main body blank,Elder,1,1.562 x 1.562 x 29.165,"OD 1.312, bore 0.812, length 27.165",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
ALG-AS3-J2,main body blank,Ash,1,1.625 x 1.625 x 34.283,"OD 1.375, bore 0.875, length 32.283",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
ALG-AS3-J2,joint tenon/socket allowance,Ash plus cork/ferrule,1,extra 2.5 in distributed around joint,"1.250 in tenon engagement, 0.003-0.006 in cork-adjusted compression",same as body,turn tenon/socket after bore alignment is proven,Cut joint after body is acoustically proven on a sacrificial overlength blank.
ALG-AS3-SOLID,main body blank,Locust,1,1.625 x 1.625 x 35.465,"OD 1.375, bore 0.875, length 33.465",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
ALG-A3-J3,main body blank,Oak,1,1.625 x 1.625 x 30.740,"OD 1.375, bore 0.875, length 28.740",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
ALG-A3-J3,joint tenon/socket allowance,Oak plus cork/ferrule,1,extra 2.5 in distributed around joint,"1.250 in tenon engagement, 0.003-0.006 in cork-adjusted compression",same as body,turn tenon/socket after bore alignment is proven,Cut joint after body is acoustically proven on a sacrificial overlength blank.
ALG-B3-SOLID,main body blank,Elder or maple,1,1.562 x 1.562 x 29.559,"OD 1.312, bore 0.812, length 27.559",straight along bore axis,"square, split or bore, route/drill, glue if split, turn/round, tune foot",Leave 2 in trim for root tuning and chuck/fixture allowance.
